,Unnamed: 0.1,Unnamed: 0,SMILES_Solute,Temperature_K,Solvent,SMILES_Solvent,Solubility(mole_fraction),Solubility(mol/L),LogS(mol/L),Compound_Name,CAS,PubChem_CID,FDA_Approved,Source,IONIZABLE,SMILES_standard
10,10,90,CCC(C)C,293.2,water,O,1.24e-05,0.0006870566496583,-3.16300745272255,i-pentane,78-78-4,6556.0,No,10.1016/j.jct.2008.01.019,Non-ionizable,CCC(C)C
11,11,91,CCCCC,295.45,water,O,1.03e-05,0.0005704366276482,-3.24379259627889,n-pentane,109-66-0,8003.0,No,10.1016/j.jct.2008.01.019,Non-ionizable,CCCCC
12,12,92,CCCCCC,295.5,water,O,2.7e-06,0.0001494503319491,-3.82550311599747,n-hexane,110-54-3,8058.0,No,10.1016/j.jct.2008.01.019,Non-ionizable,CCCCCC
13,13,97,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,300.9,water,O,0.0039,0.216209144363332,-0.66512594191577,7-(ß-hydroxyethyl) theophylline,519-37-9,1892.0,No,10.1016/j.jct.2014.05.005,Non-ionizable,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O
14,14,111,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,298.2,water,O,5e-06,0.0002764360280444,-3.55840535579404,Betulin,473-98-3,72326.0,No,10.1016/j.jct.2016.02.006,Non-ionizable,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
15,15,114,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)C(=O)C[C@@H]13,298.2,water,O,5.97e-07,3.30063164209754e-05,-4.48140294120465,Limonin,1180-71-8,179651.0,No,10.1016/j.jct.2016.03.037,Non-ionizable,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)C(=O)C[C@@H]13
16,16,120,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,298.15,water,O,2.772e-05,0.0015342210465091,-2.8141120638791,"11a,17a-dihydroxy-4-pregnene-3,20-dione",641-77-0,92827.0,No,10.1016/j.jct.2016.10.046,Non-ionizable,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
17,17,121,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,298.2,water,O,6e-06,0.0003317235653786,-3.47922367544955,Diosgenin,512-04-9,99474.0,No,10.1016/j.jct.2016.11.017,Non-ionizable,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
18,18,124,NC(=O)c1cnccn1,298.15,water,O,0.0023959999999999,0.132926418426276,-0.876388696735672,Pyrazinamide,98-96-4,1046.0,Yes,10.1016/j.jct.2017.04.014,Non-ionizable,NC(=O)c1cnccn1
19,19,125,CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1,298.15,water,O,0.0002315,0.0128154605343177,-1.89226578246303,Paclobutrazol,66346-05-2,73671.0,No,10.1016/j.jct.2017.05.004,Non-ionizable,CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1
20,20,126,Brc1cn[nH]c1,298.15,water,O,0.006602,0.367819635826903,-0.434365089933059,4-bromopyrazole,2075-45-8,16375.0,No,10.1016/j.jct.2017.05.005,Non-ionizable,Brc1cn[nH]c1
21,21,129,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,298.15,water,O,0.01741,0.980638867733027,-0.0084908974375335,Ribavirin(II),36791-04-5,37542.0,Yes,10.1016/j.jct.2017.07.027,Non-ionizable,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
22,22,130,Cc1cc(=O)[nH]c(=S)[nH]1,298.15,water,O,6.676e-05,0.0036951152953892,-2.4323720061541,6-methyl-2-thiouracil,56-04-2,667493.0,No,10.1016/j.jct.2018.02.002,Non-ionizable,Cc1cc(=O)[nH]c(=S)[nH]1
23,23,134,Clc1ncnc2nc[nH]c12,298.15,water,O,0.000658,0.0364413472657848,-1.43840557518752,6-chloropurine,87-42-3,5359277.0,No,10.1016/j.jct.2018.07.028,Non-ionizable,Clc1ncnc2nc[nH]c12
24,24,141,CCCc1cc(=O)[nH]c(=S)[nH]1,298.15,water,O,0.0001262999999999,0.0069910253478503,-2.15545912321621,Propylthiouracil,51-52-5,657298.0,Yes,10.1016/j.jct.2018.12.038,Non-ionizable,CCCc1cc(=O)[nH]c(=S)[nH]1
25,25,144,C=NCC#N,298.15,water,O,0.001707,0.0946363902799064,-1.02394183337818,Methyleneaminoacetonitrile,109-82-0,8015.0,No,10.1016/j.jct.2019.01.015,Non-ionizable,C=NCC#N
26,26,145,O=c1cc(O)c(Cl)c[nH]1,298.15,water,O,0.0001937,0.0107225090898941,-1.96970357692016,Gimeracil,103766-25-2,54679224.0,No,10.1016/j.jct.2019.01.026,Non-ionizable,O=c1cc(O)c(Cl)c[nH]1
27,27,165,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,298.15,water,O,4.702e-07,2.60234876733796e-05,-4.58463449963453,Griseofulvin,126-07-8,441140.0,Yes,10.1016/j.jct.2020.106250,Non-ionizable,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
28,28,168,O=c1cc(CO)occ1O,298.15,water,O,0.005527,0.307594906356341,-0.512020860546972,Kojic acid,501-30-4,3840.0,No,10.1016/j.jct.2020.106280,Non-ionizable,O=c1cc(CO)occ1O
29,29,174,O=c1cc(CBr)c2ccccc2[nH]1,298.15,water,O,1.668e-05,0.0009231790955465,-3.03471403823467,4-(bromomethyl)-2(1H)-quinolinone,4876-10-2,268296.0,No,10.1016/j.jct.2021.106670,Non-ionizable,O=c1cc(CBr)c2ccccc2[nH]1
30,30,187,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1,298.15,water,O,7.378e-06,0.0004083424465557,-3.38897547350147,Sulfenone,80-00-2,6621.0,No,10.1016/j.jct.2023.107153,Non-ionizable,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1
31,31,196,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,298.15,water,O,1.944e-06,0.0001075919493752,-3.96822022376922,Difenoconazole,119446-68-3,86173.0,No,10.1016/j.jct.2024.107366,Non-ionizable,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
32,32,197,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,298.15,water,O,0.12418,7.847285772357,0.894719468474895,D-tagatose,41847-61-4,439312.0,No,10.1016/j.jct.2024.107407,Non-ionizable,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O
33,33,201,NC(N)=O,293.15,water,O,0.2522,18.6873307042503,1.2715472712448,Urea,57-13-6,1176.0,Yes,10.1016/j.jct.2024.107427,Non-ionizable,NC(N)=O
34,34,205,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,298.2,water,O,1.064e-06,5.88253552301136e-05,-4.2304354415593,Imperatorin,482-44-0,10212.0,No,10.1016/j.molliq.2011.12.014,Non-ionizable,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12
35,35,206,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@@]21C,354.75,water,O,8e-06,0.0004311064185987,-3.36541551103319,Prednisone acetate,125-10-0,91438.0,No,10.1016/j.molliq.2012.05.020,Non-ionizable,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@@]21C
36,36,213,COc1ccccc1OCC(O)COC(N)=O,298.15,water,O,0.000735,0.0407088968926716,-1.39031066573449,Methocarbamol,532-03-6,4107.0,Yes,10.1016/j.molliq.2013.10.012,Non-ionizable,COc1ccccc1OCC(O)COC(N)=O
37,37,258,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,298.2,water,O,1.03e-06,5.69455957020216e-05,-4.24453985957918,Vitamin D3,67-97-0,5280795.0,Yes,10.1016/j.molliq.2016.12.105,Non-ionizable,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
38,38,263,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,298.2,water,O,1.1e-05,0.0006081629106936,-3.2159800691841,Prednisolone,50-24-8,5755.0,Yes,10.1016/j.molliq.2017.05.076,Non-ionizable,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
39,39,264,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,298.2,water,O,1.2e-05,0.0006634511114878,-3.17819107399522,Hydrocortisone,50-23-7,5754.0,Yes,10.1016/j.molliq.2017.05.076,Non-ionizable,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
40,40,268,C=CC(C)(O)CCC=C(C)C,298.15,water,O,0.0001808,0.0100082841022619,-1.99964037494799,Linalool,78-70-6,6549.0,No,10.1016/j.molliq.2017.06.099,Non-ionizable,C=CC(C)(O)CCC=C(C)C
41,41,270,CC(C)=CCC/C(C)=C/CO,298.15,water,O,0.0001026999999999,0.0056845713158821,-2.24530228069772,Geraniol,106-24-1,637566.0,No,10.1016/j.molliq.2017.06.099,Non-ionizable,CC(C)=CCC/C(C)=C/CO
42,42,271,CC(C)=CCCC(C)CCO,298.15,water,O,0.0002177,0.0120513488076113,-1.91896434338614,Citronellol,106-22-9,8842.0,No,10.1016/j.molliq.2017.06.099,Non-ionizable,CC(C)=CCCC(C)CCO
43,43,273,Cc1ccc(C(C)C)cc1,298.15,water,O,4.8e-06,0.0002656598929859,-3.57567400663466,p-cymene,99-87-6,7463.0,No,10.1016/j.molliq.2017.06.099,Non-ionizable,Cc1ccc(C(C)C)cc1
44,44,275,Cc1ccc(C)cc1,298.15,water,O,2.62e-05,0.0014500912813174,-2.83860465864453,p-xylene,106-42-3,7809.0,No,10.1016/j.molliq.2017.06.099,Non-ionizable,Cc1ccc(C)cc1
45,45,276,Cc1ccccc1,298.15,water,O,0.0001127,0.006238146003251,-2.20494446483629,Toluene,108-88-3,1140.0,No,10.1016/j.molliq.2017.06.099,Non-ionizable,Cc1ccccc1
46,46,278,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,298.2,water,O,1.06e-06,5.86042070437037e-05,-4.23207120599074,Vitamin D3,67-97-0,5280795.0,Yes,10.1016/j.molliq.2017.07.011,Non-ionizable,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
47,47,279,CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1,298.15,water,O,0.01201,0.672780088867296,-0.172126870098105,Cetilistat,282526-98-1,9952916.0,No,10.1016/j.molliq.2017.07.071,Non-ionizable,CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1
48,48,290,CC1=CC(=O)C(C(C)C)=CC1=O,298.2,water,O,8.27e-05,0.0045726071972117,-2.33983610441649,Thymoquinone,490-91-5,10281.0,No,10.1016/j.molliq.2018.10.104,Non-ionizable,CC1=CC(=O)C(C(C)C)=CC1=O
49,49,297,NC(=O)c1ccccc1,298.15,water,O,0.002116,0.117359506737906,-0.930481724500968,Benzamide,55-21-0,2331.0,No,10.1016/j.molliq.2019.110885,Non-ionizable,NC(=O)c1ccccc1
50,50,315,O=c1cc[nH]c(=O)[nH]1,298.15,water,O,0.000332,0.0183808234991802,-1.7356350352166,Uracil,66-22-8,1174.0,No,10.1016/j.molliq.2020.114259,Non-ionizable,O=c1cc[nH]c(=O)[nH]1
51,51,324,NS(=O)(=O)Cc1noc2ccccc12,298.15,water,O,6.489e-05,0.0035916054989144,-2.4447113721867,Zonisamide,68291-97-4,5734.0,Yes,10.1016/j.molliq.2020.115219,Non-ionizable,NS(=O)(=O)Cc1noc2ccccc12
52,52,327,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,298.15,water,O,0.04061,2.34272047638097,0.369720473485044,Uridine,58-96-8,6029.0,No,10.1016/j.molliq.2021.115663,Non-ionizable,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
53,53,331,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,298.15,water,O,7.99e-05,0.0044224624305183,-2.35433584779933,Fluconazole,86386-73-4,3365.0,Yes,10.1016/j.molliq.2021.115987,Non-ionizable,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
54,54,332,O=c1[nH]cc(F)c(=O)[nH]1,298.15,water,O,0.00176,0.097579900491643,-1.0106396291009,5-fluorouracil,51-21-8,3385.0,Yes,10.1016/j.molliq.2021.116038,Non-ionizable,O=c1[nH]cc(F)c(=O)[nH]1
55,55,334,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,298.15,water,O,3.105e-05,0.0017185325444488,-2.76484223906315,Etonogestrel,54048-10-1,6917715.0,Yes,10.1016/j.molliq.2021.116624,Non-ionizable,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
56,56,350,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,298.15,water,O,1.33e-05,0.0007361055437424,-3.13305991150666,Khellin,82-02-0,3828.0,No,10.1016/j.molliq.2022.118637,Non-ionizable,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
57,57,351,O=c1[nH]cc(F)c(=O)[nH]1,298.15,water,O,0.001754,0.0972466572312883,-1.01212531823831,5-fluorouracil,51-21-8,3385.0,Yes,10.1016/j.molliq.2022.118733,Non-ionizable,O=c1[nH]cc(F)c(=O)[nH]1
58,58,371,CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,298.15,water,O,7.358e-06,0.0004072355193365,-3.3901543495831,Fenoxaprop-p-ethyl,71283-80-2,91707.0,No,10.1016/j.molliq.2024.125377,Non-ionizable,CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1
59,59,376,OCc1cn(Cc2ccccc2)nn1,298.15,water,O,0.001974,0.109468196798332,-0.96071203572024,"(1-benzyl-1H-1,2,3-triazole-4-yl)methanol",28798-81-4,11651290.0,No,10.1016/j.tca.2016.01.009,Non-ionizable,OCc1cn(Cc2ccccc2)nn1
60,60,378,CC1(C)C[C@@H]1C(N)=O,294.8,water,O,0.003744,0.208079275453181,-0.681771173053788,"(S)-(+)-2,2-dimethyl-cyclopropane carbox amide",75885-58-4,10197657.0,No,10.1016/s1004-9541(06)60112-2,Non-ionizable,CC1(C)C[C@@H]1C(N)=O
61,61,386,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,298.15,water,O,3.1e-05,0.0017157650954623,-2.76554217145687,Etonogestrel,54048-10-1,6917715.0,Yes,10.1021/acs.jced.0c00201,Non-ionizable,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
62,62,390,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,293.15,water,O,0.00252292,0.140148419397922,-0.853411795874665,D(-)-salicin,,,No,10.1021/acs.jced.0c00332,Non-ionizable,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O
63,63,405,O=Cc1cc(C=O)cc(C=O)c1,298.15,water,O,0.000108,0.0059779645210841,-2.22344666680478,"1,3,5-triformylbenzene",3163-76-6,2747968.0,No,10.1021/acs.jced.0c00776,Non-ionizable,O=Cc1cc(C=O)cc(C=O)c1
64,64,407,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,298.15,water,O,2.7918e-06,0.0001545141249612,-3.81103181324683,Cyproterone acetate,427-51-0,9880.0,Yes,10.1021/acs.jced.0c00803,Non-ionizable,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
65,65,410,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,298.15,water,O,0.01699163,0.956666349876192,-0.0192395017979116,Myo-inositol,87-89-8,892.0,No,10.1021/acs.jced.0c01067,Non-ionizable,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
66,66,412,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,298.1,water,O,0.001903,0.105416207236747,-0.977092613294494,Doxofylline,69975-86-6,50942.0,No,10.1021/acs.jced.0c01088,Non-ionizable,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
67,67,419,CCCc1cc(=O)[nH]c(=S)[nH]1,298.15,water,O,0.000145,0.0080262678887772,-2.09548634912795,Propylthiouracil,51-52-5,657298.0,Yes,10.1021/acs.jced.1c00071,Non-ionizable,CCCc1cc(=O)[nH]c(=S)[nH]1
68,68,421,OCC(CO)(CO)CO,298.15,water,O,0.00975,0.54493215596445,-0.263657564006559,Pentaerythritol,115-77-5,8285.0,No,10.1021/acs.jced.1c00080,Non-ionizable,OCC(CO)(CO)CO
69,69,433,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,298.15,water,O,0.0144245,0.810015893574095,-0.0915064596104752,Ribavirin(II),36791-04-5,37542.0,Yes,10.1021/acs.jced.1c00345,Non-ionizable,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
70,70,436,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,298.15,water,O,1.06e-05,0.0005866689997072,-3.23160685981809,Gestodene,60282-87-3,3033968.0,No,10.1021/acs.jced.1c00408,Non-ionizable,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
71,71,442,CO/N=C1\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C,298.15,water,O,1.083e-05,0.0005993987479413,-3.22228416856874,Moxidectin,113507-06-5,16760141.0,Yes,10.1021/acs.jced.1c00517,Non-ionizable,CO/N=C1\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
72,72,464,O=c1cnc(Br)c[nH]1,298.15,water,O,3.198e-05,0.0017700071460441,-2.75202498025893,2-bromo-5-hydroxypyrazine,374063-92-0,2771618.0,No,10.1021/acs.jced.2c00604,Non-ionizable,O=c1cnc(Br)c[nH]1
73,73,481,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,298.15,water,O,1.878e-06,0.0001039391294191,-3.98322092509287,Difenoconazole,119446-68-3,86173.0,No,10.1021/acs.jced.3c00330,Non-ionizable,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
74,74,487,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,297.5,water,O,8.1e-05,0.0044799669599549,-2.34872518893983,Modafinil,68693-11-8,4236.0,No,10.1021/acs.jced.3c00738,Non-ionizable,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1
75,75,493,N#CCC(N)=O,298.15,water,O,0.03904,2.24847037503157,0.351887169847002,2-cyanoacetamide,107-91-5,7898.0,No,10.1021/acs.jced.4c00140,Non-ionizable,N#CCC(N)=O
76,76,497,c1ccc2[nH]cnc2c1,298.15,water,O,0.0008743,0.0484309535073809,-1.31487698049058,Benzimidazole,51-17-2,5798.0,No,10.1021/acs.jced.4c00450,Non-ionizable,c1ccc2[nH]cnc2c1
77,77,505,OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,298.15,water,O,0.061564,3.63082102104308,0.560004841176965,Maltitol,585-88-6,493591.0,No,10.1021/acs.jced.5b00565,Non-ionizable,OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO
78,78,514,Cc1c(O)c(=O)ccn1C,293.1,water,O,0.0022676,0.125932170553926,-0.899863311120707,Deferiprone,30652-11-0,2972.0,Yes,10.1021/acs.jced.6b00163,Non-ionizable,Cc1c(O)c(=O)ccn1C
79,79,518,Cn1c(=O)c2[nH]cnc2n(C)c1=O,298.16,water,O,0.00063,0.0348533286735863,-1.45775573821056,Theophylline,58-55-9,2153.0,Yes,10.1021/acs.jced.7b00065,Non-ionizable,Cn1c(=O)c2[nH]cnc2n(C)c1=O
80,80,519,Cn1cnc2c1c(=O)[nH]c(=O)n2C,298.1,water,O,4.73e-05,0.0026153091424797,-2.58247696800599,Theobromine,83-67-0,5429.0,No,10.1021/acs.jced.7b00065,Non-ionizable,Cn1cnc2c1c(=O)[nH]c(=O)n2C
81,81,530,O=C(c1ccccc1)c1ccccc1,298.15,water,O,0.0111,0.621231220250021,-0.206746726733562,Benzophenone,119-61-9,3102.0,No,10.1021/acs.jced.8b00196,Non-ionizable,O=C(c1ccccc1)c1ccccc1
82,82,533,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C=O,298.15,water,O,0.09786,6.00363033539623,0.778413943358029,L-fucose,2438-80-4,3034656.0,No,10.1021/acs.jced.8b00361,Non-ionizable,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C=O
83,83,534,O=c1nc[nH]c2[nH]ncc12,298.15,water,O,2.938e-05,0.0016260998980456,-2.78885277741521,Allopurinol,315-30-0,135401907.0,No,10.1021/acs.jced.8b00430,Non-ionizable,O=c1nc[nH]c2[nH]ncc12
84,84,546,N#CCC(N)=O,298.15,water,O,0.04047,2.33430348345763,0.368157318128747,2-cyanoacetamide,107-91-5,7898.0,No,10.1021/acs.jced.8b01205,Non-ionizable,N#CCC(N)=O
