,ID,Solubility,SMILEScurated,SD,Group,Dataset,Composition,Error,Charge,IONIZABLE,SMILES_standard
10,A-27,-3.513468741,CCC(C)(CCC(C)C)C(=O)OCC1CO1,0.0,G1,A,,,Uncharged,Non-ionizable,CCC(C)(CCC(C)C)C(=O)OCC1CO1
11,A-29,-4.287342935,CC(C)=C1CCC(C)=CC1,0.131230591,G5,A,mono-constituent,,Uncharged,Non-ionizable,CC1=CCC(=C(C)C)CC1
12,A-34,-3.512942193,ClCC1=CC=C(Cl)C=C1Cl,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,ClCc1ccc(Cl)cc1Cl
13,A-36,-4.292313455,CC1(C)C2CC1C(=C)CC2,1.247787366,G4,A,mono-constituent,,Uncharged,Non-ionizable,C=C1CCC2CC1C2(C)C
14,A-39,-4.63414462,CCCCCCCCCCCCOC(=O)C(C)O,0.106537413,G3,A,mono-constituent,,Uncharged,Non-ionizable,CCCCCCCCCCCCOC(=O)C(C)O
15,A-47,-2.563625713,C=CC(=O)OCCOC1=CC=CC=C1,0.227965978,G3,A,mono-constituent,,Uncharged,Non-ionizable,C=CC(=O)OCCOc1ccccc1
16,A-54,-4.451139225,CC(=C)C1=CC(=CC=C1)C(C)=C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C=C(C)c1cccc(C(=C)C)c1
17,A-55,-4.203848464,[Mo],0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,[Mo]
18,A-56,-4.581332511,CC(C)(C)CCCCCC(=O)OC=C,0.0,G1,A,UVCB,,Uncharged,Non-ionizable,C=COC(=O)CCCCCC(C)(C)C
19,A-58,-4.472021768,CC1=CC=C(C=C1)C(C)(C)C,0.048455006,G3,A,mono-constituent,,Uncharged,Non-ionizable,Cc1ccc(C(C)(C)C)cc1
20,A-70,-2.593688492,CC12OC1CC1CC2C1(C)C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC1(C)C2CC3OC3(C)C1C2
21,A-74,-1.835797234,C(OCC1CCC(COCC2CO2)CC1)C1CO1,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,C1CC(COCC2CO2)CCC1COCC1CO1
22,A-79,-2.622959195,C=COC(=O)C1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C=COC(=O)c1ccccc1
23,A-80,-3.739816376,COC(=O)C1=CC=C(C=C1)C(C)(C)C,0.0,G1,A,mono-constituent,Non Valid pH,Uncharged,Non-ionizable,COC(=O)c1ccc(C(C)(C)C)cc1
24,A-81,-2.826535469,CC1=CC=CC(CC(C)(C)CO)=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,Cc1cccc(CC(C)(C)CO)c1
25,A-83,-3.754953216,CC(C)=CCCC(C)=CCOC(C)=O,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,CC(=O)OCC=C(C)CCC=C(C)C
26,A-86,-2.695999804,CC1(C)C2CC1C(CCO)=CC2,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC1(C)C2CC=C(CCO)C1C2
27,A-89,-1.647141463,CC1CC(=O)CC(C)(C)C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC1CC(=O)CC(C)(C)C1
28,A-91,-3.951518842,C=CC(=O)OCCOC1=CC=CC=C1C1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C=CC(=O)OCCOc1ccccc1-c1ccccc1
29,A-101,-5.47300058,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
30,A-106,-3.823043168,CCOC(=O)CC(C)CC(C)(C)C,0.025392856,G5,A,mono-constituent,,Uncharged,Non-ionizable,CCOC(=O)CC(C)CC(C)(C)C
31,A-113,-2.979987205,CC(C)C1CCC(C)CC1OC(=O)C(C)O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC1CCC(C(C)C)C(OC(=O)C(C)O)C1
32,A-114,-3.178447129,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,0.015046519,G3,A,mono-constituent,,Uncharged,Non-ionizable,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
33,A-116,-4.229152992,O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,O
34,A-117,-2.95264717,CC(=C)C(=O)OCCOC1=CC=CC=C1,0.0,G1,A,mono-constituent,Non Valid pH,Uncharged,Non-ionizable,C=C(C)C(=O)OCCOc1ccccc1
35,A-118,-4.151088918,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,0.129092083,G5,A,mono-constituent,,Uncharged,Non-ionizable,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
36,A-119,-0.175874376,CF,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CF
37,A-122,-3.988526528,C(COC1=CC=CC=C1)OC1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,c1ccc(OCCOc2ccccc2)cc1
38,A-129,-4.021753515,CCCCCCC=CC1CC(=O)OC1=O,0.0,G1,A,,,Uncharged,Non-ionizable,CCCCCCC=CC1CC(=O)OC1=O
39,A-135,-4.772570424,CC1=CCC2CC1C2(C)C,0.0731444,G5,A,mono-constituent,,Uncharged,Non-ionizable,CC1=CCC2CC1C2(C)C
40,A-139,-4.909505216,C[Si](C)(C)O[Si](C)(C)C,0.166247392,G3,A,mono-constituent,,Uncharged,Non-ionizable,C[Si](C)(C)O[Si](C)(C)C
41,A-140,-2.759957367,FC(=C)C(F)(F)F,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C=C(F)C(F)(F)F
42,A-141,-1.886030361,O=C1OC2=CC=CC=C2C=C1,0.640507101,G4,A,mono-constituent,,Uncharged,Non-ionizable,O=c1ccc2ccccc2o1
43,A-142,-3.84649653,CC(=C)C1CCC(C)=CC1,0.730589006,G4,A,mono-constituent,,Uncharged,Non-ionizable,C=C(C)C1CC=C(C)CC1
44,A-144,-4.139133643,S=[W]=S,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,[S-2].[S-2].[W+4]
45,A-146,-3.088778192,CC(=O)OC1CC2CCC1(C)C2(C)C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(=O)OC1CC2CCC1(C)C2(C)C
46,A-148,-4.135942613,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCCC(=O)OC(C)(C)Cc1ccccc1
47,A-153,-0.070052651,CCCOCC(C)OCC(C)O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCCOCC(C)OCC(C)O
48,A-156,-4.170824759,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,0.0,G1,A,mono-constituent,Unstable,Uncharged,Non-ionizable,CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
49,A-167,-4.216916663,O=C(OC1=CC=CC=C1)OC1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,O=C(Oc1ccccc1)Oc1ccccc1
50,A-168,-4.151910976,CCCCC(CC)C(=O)OC=C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C=COC(=O)C(CC)CCCC
51,A-170,-2.965977173,C1CC=CCCC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C1=CCCC=CCC1
52,A-171,-3.256981001,CO[Si](CCCN=C=O)(OC)OC,0.0,G1,A,mono-constituent,Unstable,Uncharged,Non-ionizable,CO[Si](CCCN=C=O)(OC)OC
53,A-172,-3.32858345,CCO[Si](CCCCl)(OCC)OCC,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCO[Si](CCCCl)(OCC)OCC
54,A-176,-4.387683254,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,0.057297264,G5,A,mono-constituent,,Uncharged,Non-ionizable,CCCCOC(=O)c1ccccc1C(=O)OCCCC
55,A-182,-4.425503245,CCCCCCCCCC=CCC1CC(=O)OC1=O,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,CCCCCCCCCC=CCC1CC(=O)OC1=O
56,A-183,-4.425503245,CC(C)CC(C)CC(C)C=C(C)C1CC(=O)OC1=O,0.150514998,G3,A,,,Uncharged,Non-ionizable,CC(=CC(C)CC(C)CC(C)C)C1CC(=O)OC1=O
57,A-184,-5.345705158,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC)OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC,0.0,G1,A,,Multi-constituent Substances,Uncharged,Non-ionizable,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC)OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC
58,A-189,-5.676541809,CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,0.0,G1,A,mono-constituent,Non Valid pH,Uncharged,Non-ionizable,CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC
59,A-191,-5.49192521,COC1=CC=C(C=CC(=O)OCCC(C)C)C=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,COc1ccc(C=CC(=O)OCCC(C)C)cc1
60,A-193,-5.365156254,C1CC=CCCC=CCCC=C1,0.198970004,G3,A,mono-constituent,,Uncharged,Non-ionizable,C1=CCCC=CCCC=CCC1
61,A-195,-6.102526939,CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C,0.0,G1,A,,,Uncharged,Non-ionizable,CC(CCN(CCC(C)CC(C)(C)C)C(=S)[S-])CC(C)(C)C.CC(CCN(CCC(C)CC(C)(C)C)C(=S)[S-])CC(C)(C)C.[Zn+2]
62,A-196,-6.656649109,BrCC1=CC=C(C=C1)C1=CC=CC=C1C#N,0.0,G1,A,mono-constituent,Non Valid pH,Uncharged,Non-ionizable,N#Cc1ccccc1-c1ccc(CBr)cc1
63,A-199,-7.555881514,COC1CC(OC2C(C)OC(CC2OC)OC2C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)OC5CC(CC=C2C)OC2(C5)OC(C5CCCCC5)C(C)C=C2)C34O)OC(C)C1O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C6CCCCC6)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O
64,A-201,-6.183335848,C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=CC=C1,0.461832076,G3,A,,,Uncharged,Non-ionizable,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
65,A-203,-6.178796616,C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1,0.058820019,G5,A,mono-constituent,Non Valid pH,Uncharged,Non-ionizable,c1cc2ccc3cccc4ccc(c1)c2c34
66,A-204,-6.40319542,CCCCOC(=O)C1=CC=C(C=C1)C(=O)OCCCC,0.688111365,G4,A,mono-constituent,,Uncharged,Non-ionizable,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1
67,A-208,-6.587338232,CCC(CC)CC1(CCCCC1)C#N,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCC(CC)CC1(C#N)CCCCC1
68,A-212,-7.252394502,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,0.275453734,G3,A,UVCB,,Uncharged,Non-ionizable,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C
69,A-215,-2.155833357,FC1(F)OC2=CC=CC(C=O)=C2O1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,O=Cc1cccc2c1OC(F)(F)O2
70,A-222,-4.400250091,O=[V]=O,1.528905422,G4,A,mono-constituent,,Uncharged,Non-ionizable,[O-2].[O-2].[V+4]
71,A-227,-1.825456144,CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,0.0,G1,A,,,Uncharged,Non-ionizable,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Co+2].[Co+3].[Co+].[O-]B([O-])[O-]
72,A-234,-3.297212067,CC(C)=CCCC(C)=CC=CC(C)=O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(=O)C=CC=C(C)CCC=C(C)C
73,A-241,-1.768326879,O=[Ca],0.866267647,G4,A,mono-constituent,,Uncharged,Non-ionizable,[Ca+2].[O-2]
74,A-247,-1.17595802,CCC1=C(O)C(=O)C=CO1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCc1occc(=O)c1O
75,A-249,-2.211401723,COC(=O)CC1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,COC(=O)Cc1ccccc1
76,A-256,-3.122388733,CCCCCCCl,0.227965978,G3,A,mono-constituent,,Uncharged,Non-ionizable,CCCCCCCl
77,A-257,-2.268475684,CC(=C)C(=O)OCC(F)(F)F,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C=C(C)C(=O)OCC(F)(F)F
78,A-262,-2.153696327,CCCCCCC(C)=O,0.051848164,G3,A,mono-constituent,,Uncharged,Non-ionizable,CCCCCCC(C)=O
79,A-266,-3.526422567,CC1CC(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C12C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC1CC(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C21C
80,A-270,-4.536378597,CC(C)(O)C(=O)C1=CC=C(CC2=CC=C(C=C2)C(=O)C(C)(C)O)C=C1,0.0,G1,A,,,Uncharged,Non-ionizable,CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1
81,A-273,-4.493085819,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,0.0,G1,A,UVCB,,Uncharged,Non-ionizable,C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21
82,A-278,-4.283204614,CCCCC(CC)COC(=O)C=C,0.508852307,G2,A,mono-constituent,,Uncharged,Non-ionizable,C=CC(=O)OCC(CC)CCCC
83,A-284,-3.338049828,CC(=O)OC1CC2CC1C1CCCC21,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,CC(=O)OC1CC2CC1C1CCCC21
84,A-293,-2.595175443,CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC,0.0,G1,A,mono-constituent,Unstable,Uncharged,Non-ionizable,CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC
85,A-295,-3.243750947,CC(CCC=C(C)C)CC=O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(C)=CCCC(C)CC=O
86,A-296,-0.288092629,CC(C)C12CCC(C)(O1)C(O)C2,0.0,G1,A,,,Uncharged,Non-ionizable,CC(C)C12CCC(C)(O1)C(O)C2
87,A-297,-3.302656786,CC(C)C1=CC=C(CCC=O)C=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(C)c1ccc(CCC=O)cc1
88,A-298,-2.197764187,CCCCBr,0.086117907,G3,A,mono-constituent,,Uncharged,Non-ionizable,CCCCBr
89,A-301,-3.384192904,CCCOC(C)OCCC1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCCOC(C)OCCc1ccccc1
90,A-304,-3.339761604,COC(OC)C(C)(C)CC=C(C)C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,COC(OC)C(C)(C)CC=C(C)C
91,A-305,-3.296613578,COC(C)(C)C1CCC(C)=CC1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,COC(C)(C)C1CC=C(C)CC1
92,A-311,-2.302767888,CCC(C)=CCCC(C)(O)C#C,0.0,G1,A,,,Uncharged,Non-ionizable,C#CC(C)(O)CCC=C(C)CC
93,A-314,-3.477980722,CO[Si](CCCOC(=O)C(C)=C)(OC)OC,2.210895308,G4,A,mono-constituent,Prediction Estimation,Uncharged,Non-ionizable,C=C(C)C(=O)OCCC[Si](OC)(OC)OC
94,A-320,-2.365667988,CC1=CC(=O)N(N1)C1=CC=C(C)C=C1,0.0,G1,A,mono-constituent,Non Valid pH,Uncharged,Non-ionizable,Cc1ccc(-n2[nH]c(C)cc2=O)cc1
95,A-321,-2.267384667,OB(O)C1=CC=C(C=O)C=C1,0.0,G1,A,,Non Valid pH,Uncharged,Non-ionizable,O=Cc1ccc(B(O)O)cc1
96,A-322,-2.337666283,CC(=O)CC(C)(C)C1=CC=CC=C1,0.0,G1,A,mono-constituent,Non Valid pH,Uncharged,Non-ionizable,CC(=O)CC(C)(C)c1ccccc1
97,A-323,-2.250522404,CCCCCOC(=O)CC,0.485261202,G3,A,mono-constituent,,Uncharged,Non-ionizable,CCCCCOC(=O)CC
98,A-324,-2.160954298,FC(F)=C(F)Cl,0.373978233,G3,A,mono-constituent,,Uncharged,Non-ionizable,FC(F)=C(F)Cl
99,A-326,-1.459377408,CCCCCCCCCCCCOCCO,0.0,G1,A,,,Uncharged,Non-ionizable,CCCCCCCCCCCCOCCO
100,A-331,-3.176796415,CC=C1CC2CC1C=C2,0.476851793,G3,A,mono-constituent,,Uncharged,Non-ionizable,CC=C1CC2C=CC1C2
101,A-339,-4.596065772,CCCC[Sn](CCCC)(CCCC)CCCC,0.980202819,G2,A,mono-constituent,,Uncharged,Non-ionizable,CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC
102,A-342,-3.994369951,CO,2.247217478,G4,A,mono-constituent,Unstable,Uncharged,Non-ionizable,CO
103,A-348,-4.45076092,CCC(C)(OOC(C)(C)C)OOC(C)(C)C,0.0,G1,A,mono-constituent,Unstable,Uncharged,Non-ionizable,CCC(C)(OOC(C)(C)C)OOC(C)(C)C
104,A-349,-4.360607869,S(C1=CC=CC=C1)C1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,c1ccc(Sc2ccccc2)cc1
105,A-352,-4.553119611,ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl,1.967868338,G4,A,mono-constituent,Unstable,Uncharged,Non-ionizable,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21
106,A-356,1.233668218,CCO,0.096862849,G5,A,mono-constituent,,Uncharged,Non-ionizable,CCO
107,A-359,-2.245531528,COC1=CC=C(OC)C=C1,0.0224182,G3,A,mono-constituent,,Uncharged,Non-ionizable,COc1ccc(OC)cc1
108,A-360,-2.418090055,C(CC1=CC=CC=C1)OC1CCCCC1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,c1ccc(CCOC2CCCCC2)cc1
109,A-363,-3.396366501,CC=CC(=O)C1C(C)C=CCC1(C)C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC=CC(=O)C1C(C)C=CCC1(C)C
110,A-364,-3.557960056,O=C(OCC1CO1)C1=CC=C(C=C1)C(=O)OCC1CO1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1
111,A-365,-3.301742894,CCCCCC=CCCC=O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCCCCC=CCCC=O
112,A-369,-2.043101387,CC(F)(F)F,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(F)(F)F
113,A-370,-1.469930479,CC(C)(O)C(=O)C1=CC=C(OCCO)C=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(C)(O)C(=O)c1ccc(OCCO)cc1
114,A-371,-0.98322259,CN=C=S,0.014618336,G5,A,mono-constituent,,Uncharged,Non-ionizable,CN=C=S
115,A-373,-3.533758505,O=C1CCCCCCCCCCC(=O)OCCO1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,O=C1CCCCCCCCCCC(=O)OCCO1
116,A-374,-3.324378497,CC(C)CCCCCCCO,0.213177472,G3,A,UVCB,,Uncharged,Non-ionizable,CC(C)CCCCCCCO
117,A-377,-2.409651238,CCOC(=O)C1OC1C1=CC=CC=C1,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,CCOC(=O)C1OC1c1ccccc1
118,A-378,-2.286983634,CC(C)CCCC(C)(C)O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(C)CCCC(C)(C)O
119,A-379,-2.344979827,CCC(=O)OCC1=CC=CC=C1,0.435201953,G3,A,mono-constituent,,Uncharged,Non-ionizable,CCC(=O)OCc1ccccc1
120,A-381,-2.352215179,CC(=O)OC1(CCCCC1)C#C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C#CC1(OC(C)=O)CCCCC1
121,A-384,-0.931218902,CSC,0.225565451,G5,A,mono-constituent,,Uncharged,Non-ionizable,CSC
122,A-390,-2.454265074,CC=CC=C,0.277547224,G3,A,,Multi-constituent Substances,Uncharged,Non-ionizable,C=CC=CC
123,A-391,-3.677346846,CC(C)C1=CC=CC(=C1)C(C)CC=O,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(C)c1cccc(C(C)CC=O)c1
124,A-397,-2.436880918,FC1CC(F)(F)C(F)(F)C1(F)F,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,FC1CC(F)(F)C(F)(F)C1(F)F
125,A-398,-3.922851514,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCC[CH2][Sn+]([CH2]CCC)[CH2]CCC.CCC[CH2][Sn+]([CH2]CCC)[CH2]CCC.[O-2]
126,A-400,-3.006984006,CCCCC,0.421426337,G5,A,UVCB,,Uncharged,Non-ionizable,CCCCC
127,A-403,-2.277035079,CC1=CC=C(C=O)C=C1C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,Cc1ccc(C=O)cc1C
128,A-409,-1.219958563,CCCCOC(C)=O,0.148206266,G5,A,mono-constituent,,Uncharged,Non-ionizable,CCCCOC(C)=O
129,A-415,-3.502355132,O=[Pb],0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,[O-2].[Pb+2]
130,A-421,-4.412762427,CC12CCCC(C)(C)C3C(CCC13)C2=C,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,C=C1C2CCC3C2C(C)(C)CCCC13C
131,A-425,-4.567302938,CC(COC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1
132,A-427,-4.446203904,CCC(C)(C)C1CCCCC1OC(C)=O,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,CCC(C)(C)C1CCCCC1OC(C)=O
133,A-429,-4.420023997,N#CC(=C1CCCCC1)C1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,N#CC(=C1CCCCC1)c1ccccc1
134,A-445,-3.052101177,FC1=CC=C2OC(CCC2=C1)C1CO1,0.0,G1,A,,Multi-constituent Substances,Uncharged,Non-ionizable,Fc1ccc2c(c1)CCC(C1CO1)O2
135,A-447,-2.351909504,CC(C)=CCCC(C)=CCO,0.418162058,G3,A,mono-constituent,,Uncharged,Non-ionizable,CC(C)=CCCC(C)=CCO
136,A-451,-1.314975067,COC1=CC=CC=C1OC,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,COc1ccccc1OC
137,A-454,-2.778562332,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,0.109781166,G3,A,mono-constituent,,Uncharged,Non-ionizable,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
138,A-457,-2.245085326,CCCCCCOC,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CCCCCCOC
139,A-461,-3.7709815,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
140,A-463,-3.459862901,CC(C)C1=CC=C(C=C1)C(C)CC=O,0.0,G1,A,,,Uncharged,Non-ionizable,CC(C)c1ccc(C(C)CC=O)cc1
141,A-465,-2.371197393,CC1CC(C)=CC(C)C1CO,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,CC1=CC(C)C(CO)C(C)C1
142,A-466,-2.409128664,CCC(C)=CCCC(C)(O)C=C,0.0,G1,A,multi-constituent,,Uncharged,Non-ionizable,C=CC(C)(O)CCC=C(C)CC
143,A-467,-2.762296476,O=C(OCC1CO1)C1=CC=C(C(=O)OCC2CO2)C(=C1)C(=O)OCC1CO1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)c(C(=O)OCC2CO2)c1
144,A-468,-2.433237945,CC1CC(C)(CO1)C1=CC=CC=C1,0.0,G1,A,multi-constituent,Non Valid pH,Uncharged,Non-ionizable,CC1CC(C)(c2ccccc2)CO1
