smiles,logS_literature,logS_wiki_ps0,logS_AqSolDB,logS_BigSolDB,sd
O=Cc1ccco1,-0.1,,-0.0962,0.191429925691585,0.16717097821389806
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-4.6,-4.61,,-4.58463449963453,0.012776979365718427
c1ccc2c(c1)Oc1ccccc1O2,-5.31,-5.29,-5.3106,,0.011724049357339393
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,-6.88,-6.9004,,0.011664190213355545
CCCC(C)(COC(N)=O)COC(N)=O,-1.67,-1.79,-1.74,,0.060277137733417134
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.26,-6.23,-6.29,,0.029999999999999805
Cc1cc(C)c(C)cc1C,-4.59,-4.59,-3.84,,0.4330127018922193
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39,-7.36,-7.3898,,0.017263062686943043
Cc1cccc2sc3nncn3c12,-2.07,-2.07,-2.0729,,0.0016743157806501149
CCC(C)C,-3.18,,-3.163,-3.16300745272255,0.00981280386807175
ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.39,-5.62,-5.64,,0.13892443989449815
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-1.8,-1.86,-1.8,-2.35433584779933,0.2686609379140504
Cc1cc(=O)n(-c2ccccc2)n1C,-0.56,0.51,-0.5642,,0.6189807859161166
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-7.79,-8.18,-8.2259,,0.2395188301574635
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28,-7.25,-7.2722,,0.015565346125287483
Brc1ccc(Br)cc1,-4.07,-4.07,-4.0717,,0.0009814954576221275
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,-6.21,-6.19,-6.0,,0.11590225767142481
Clc1ccc(Cl)c(Cl)c1Cl,-4.38,-4.57,-4.5619,,0.10743464680136174
CCCCCCCCCCCCCCO,-5.84,-6.06,-5.787142557,,0.14470953290471
Cc1ccc(CO)cc1,-1.2,-1.2,-1.1999,,5.773502691895622e-05
c1ccc2c(c1)Cc1ccccc1-2,-4.91,-4.92,-4.91,,0.005773502691896135
O=C(c1ccccc1)C(O)c1ccccc1,-2.85,-2.85,-2.849722352,,0.00016030014753994027
c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68,-6.64,-6.678,,0.02253885533916937
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,-6.51,-6.48,-6.51,,0.017320508075688402
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-6.55,-7.18,-7.2,,0.36963946398258585
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,-6.53,-6.5561,,0.01631165227682314
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,-5.65,-5.99,-6.02,,0.2055075018906444
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-7.73,-8.0,-7.733,,0.15502580430367066
CC1=CC(=O)c2ccccc2C1=O,-3.03,-3.13,-3.0319,,0.057194434461172346
NC(=O)c1ccccc1,-0.96,-0.95,-0.953,-0.930481724500968,0.01264042588398813
COc1cc(Cl)c(Cl)cc1OC,-3.46,-3.46,-3.4588,,0.0006928203230274746
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.54,-6.88,-6.5386,,0.19670448224006826
O=c1ccc2ccccc2o1,-1.73,-1.84,-1.886030361,-1.88574739515995,0.07354954283807474
O=c1[nH]cc(Br)c(=O)[nH]1,,-2.34,-2.3698,-1.82223028042715,0.3078977428464515
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.8,-7.75,-7.66,,0.07094598884597572
N#Cc1c(Cl)cccc1Cl,-3.98,-3.91,-3.9803,,0.040501399152786444
OCC(CO)(CO)CO,-0.44,,-0.341616387,-0.263657564006559,0.08836813916938359
COc1cc(Cl)c(Cl)c(Cl)c1OC,-4.37,-4.37,-4.3701,,5.773502691882802e-05
COC(=O)c1ccc(OC)cc1,-2.41,-2.39,-2.34,,0.03605551275464005
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-7.79,-8.39,-8.4206,,0.35557294610248424
Brc1cc(Br)cc(Br)c1,-5.6,-5.6,-5.6004,,0.0002309401076758249
C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.13,-3.12,-3.221135687,,0.055728718852915624
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-7.79,-7.98,-8.78,,0.5253887449625589
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.32,-6.3,-6.3168,,0.01074305977519145
OC(c1ccccc1)c1ccccc1,-2.55,-2.55,-2.5494,,0.0003464101615137373
c1ccc2[nH]ncc2c1,-2.16,-2.08,-2.1554,,0.04491903827999888
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.02,-8.97,-9.0265,,0.030915206614221098
S=C1NCCN1,-0.71,-0.76,-0.7083,,0.02937056349476462
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.19,-8.55,-8.6,,0.22368132093076856
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-6.29,-6.28,-6.99,,0.40706264874095244
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,-7.69,-8.29,-8.3813,,0.3755510129574049
C=CC(C)(O)CCC=C(C)C,-1.99,,-1.9871,-1.99964037494799,0.0065651584516802156
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.25,-8.14,-8.1924,,0.0550204810350955
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-5.24,-5.23,-5.24,,0.005773502691896135
COc1ccc(OC)c(C=O)c1,-2.32,-2.32,-2.3202,,0.00011547005383791244
CCOc1ccc(C=O)cc1OC,-2.19,-2.19,-2.1913,,0.0007505553499465591
COc1c(Cl)cc(Cl)cc1Cl,-4.2,-4.28,-4.2,,0.0461880215351701
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,-6.89,-7.77,-6.8995,,0.5053481473202409
CC12CCC(CC1=O)C2(C)C,-1.99,-1.93,-5.438370605,,2.008462269642132
c1ccc2cc3ccccc3cc2c1,-6.35,-6.61,-6.44481058,,0.1315779810352485
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,-6.29,-6.26,-6.29,,0.017320508075688915
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-6.15,-6.15,-5.9563,,0.11183274714203088
Clc1cccc(-c2cccc(Cl)c2)c1,-5.8,-5.78,-5.7983,,0.011088883322198415
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.78,-7.89,-7.9107,,0.07025071767130439
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,-6.23,-6.97,-7.04,,0.44881324995295435
Clc1cccc(Cl)c1Cl,-4.08,-3.76,-4.003482074,,0.16710202141141361
Cc1ccc2cc(C)ccc2c1,-4.89,-4.89,-4.8927,,0.001558845726811946
c1cc2ccc3cccc4ccc(c1)c2c34,-6.18,-6.19,-6.178796616,,0.006150392211110642
CCCCCC,-3.84,,-3.944170335,-3.82550311599747,0.06473475007751427
Cc1cccc2c1Cc1ccccc1-2,-5.22,-5.22,-5.2184,,0.0009237604307032996
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,-8.6,-8.5758,,0.013971876514389199
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.69,-5.68,-5.54,,0.08386497083606086
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,-6.27,-6.24,-6.27,,0.017320508075688402
Cc1ccc(C)cc1,-2.77,,-2.81916776,-2.83860465864453,0.03535972482940594
NC(=O)c1cnccn1,,-0.91,-0.667,-0.876388696735672,0.13167026114995864
CCCc1cc(=O)[nH]c(=S)[nH]1,,-2.15,-2.1504,-2.15545912321621,0.0030429359180064682
C1CCCC1,-2.64,,-2.64,-2.63684591705288,0.001821010638566234
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-5.31,-6.6,-6.616,,0.749443348981985
c1ccc2c(c1)-c1cccc3cccc-2c13,-5.89,-5.96,-5.93,,0.0351188458428426
CCCCC,-3.18,,-3.006984006,-3.24379259627889,0.12253049821009494
Cc1c2ccccc2c(C)c2ccccc12,-6.57,-6.57,-6.5663,,0.0021361959960017646
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,-0.58,-0.575436704,,0.013065088217378085
Cc1ccc(C(C)C)cc1,-3.77,,-3.77,-3.57567400663466,0.11219416458002039
NC(=O)CCl,-0.02,-0.01,-0.0166,,0.0050846173241782255
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-7.82,-7.79,-7.8306,,0.021058331684474126
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-7.63,-8.53,-8.56,,0.5284884104689526
c1ccc2[nH]ccc2c1,-1.52,-1.52,-1.21,,0.178978583448784
Clc1ccc2ccccc2c1,-4.14,-4.14,-4.143,,0.0017320508075689429
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,-5.65,-5.6466,,0.0050846173241785855
O=C1c2ccccc2C(=O)c2ccccc21,-5.19,-5.19,-6.039760498,,0.49060945226701
Cc1ccccc1,-2.21,,-2.206298299,-2.20494446483629,0.0026170560122567225
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57,-6.54,-7.26,,0.4073082370883258
Clc1cccc(Cl)c1-c1ccccc1,-4.97,-5.19,-5.21,,0.13316656236958807
Cc1cc2ccccc2cc1C,-4.72,-4.72,-4.72,,0.0
Cc1c2ccccc2cc2ccccc12,-5.89,-5.87,-5.89,,0.01154700538379227
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,-6.27,-6.2908,,0.011784735890125228
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51,-6.49,-6.5052,,0.010440945040240858
C=CCC,-1.94,,-1.94,-2.35536990050591,0.2398139238703552
c1ccc2ccccc2c1,-3.58,-3.61,-4.311225605,,0.4137850155405242
c1ccc2c(c1)c1ccccc1c1ccccc21,-6.74,-6.69,-6.7447,,0.03031550758275355
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.61,-3.61,-3.6137,,0.0021361959960017646
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-7.16,-7.13,-7.16,,0.017320508075688915
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,,-4.43,-4.91,-3.96822022376922,0.4709192621269325
Clc1ccc(Cl)cc1,-3.31,-3.29,-3.35,,0.03055050463303896
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47,-6.44,-6.4654,,0.016157144962316888
O=c1cc[nH]c(=O)[nH]1,-1.49,-1.49,-1.48,-1.7356350352166,0.124573409509518
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-6.0,-6.11,-6.06,,0.05507570547286116
Clc1ccc(-c2ccccc2Cl)cc1Cl,-6.29,-6.26,-6.287,,0.016522711641858423
c1ccc(-c2ccccc2)cc1,-4.3,-4.3,-4.32,,0.011547005383792781
Brc1cc(Br)c(Br)cc1Br,-6.98,-6.98,-6.98,,0.0
c1ccc2c(c1)oc1ccccc12,-4.6,-4.6,-4.6,,0.0
Clc1cc(Cl)c(Cl)cc1Cl,-5.47,-5.56,-5.47,,0.051961524227066236
COC(=O)c1ccc(C(=O)OC)cc1,-4.01,-4.01,-3.796856222,,0.12305861760439361
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68,-7.65,-7.6794,,0.017149927113547517
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,-4.63,-4.68,,0.028867513459481187
c1ccc2c(c1)ccc1ccccc12,-5.21,-5.23,-5.1903,,0.01985018891597797
CC(N)=O,1.58,1.13,1.5808,1.64380720351309,0.2376552806932489
O=Cc1ccccc1,-1.19,,-1.209572311,-0.894123691447488,0.17674543695106032
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-7.39,-7.36,-7.3867,,0.016450835845026004
COc1c2occc2cc2ccc(=O)oc12,-3.66,-4.5,-3.52,,0.5300314456080255
