ID,Solubility,SMILEScurated,SD,Group,Dataset,Composition,Error,Charge
A-50,-4.057185148,C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,0,G1,A,mono-constituent,Non Valid pH,Zwitterion
A-51,-4.793227892,CCC(CC1=CC=CC=C1)([NH+](C)C)C(=O)C1=CC=C(C=C1)N1CCOCC1,0,G1,A,mono-constituent,None,Positive
A-53,-4.587250025,CC(C)CCCCCCC1=CC=C(O)C=C1,0,G1,A,None,None,Uncharged
A-54,-4.451139225,CC(=C)C1=CC(=CC=C1)C(C)=C,0,G1,A,mono-constituent,None,Uncharged
A-55,-4.203848464,[Mo],0,G1,A,mono-constituent,None,Uncharged
A-56,-4.581332511,CC(C)(C)CCCCCC(=O)OC=C,0,G1,A,UVCB,None,Uncharged
A-58,-4.472021768,CC1=CC=C(C=C1)C(C)(C)C,0.048455006,G3,A,mono-constituent,None,Uncharged
A-61,-1.445031941,[O-]C(=O)C1CCCCC1,0.18248403,G3,A,mono-constituent,None,Negative
A-62,-0.410897736,[O-]S(=O)(=O)OCCS(=O)(=O)C1=CC=CC(NC2=NC(Cl)=NC(NC3=CC(=CC4=C3C(=O)C(=NNC3=C(C5=CC=CC(=C5C=C3)S([O-])(=O)=O)S([O-])(=O)=O)C(=C4)S([O-])(=O)=O)S([O-])(=O)=O)=N2)=C1,0,G1,A,None,None,Negative
A-63,-3.893739071,C(CCC[NH+]=CC=CC1=CC=CC=C1)CC[NH+]=CC=CC1=CC=CC=C1,0,G1,A,mono-constituent,None,Positive
A-65,-7.973715535,CC(C)(C)CC(C)(C)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C(CC2=C(O)C(=CC(=C2)C(C)(C)CC(C)(C)C)N2N=C3C=CC=CC3=N2)=C1,1.85592384,G4,A,mono-constituent,None,Uncharged
A-68,-3.038699623,CCN(CC[N+](C)(C)C)C1=CC=C(C=C1)N=NC1=CC=C(C=C1Cl)[N+]([O-])=O,0,G1,A,mono-constituent,Non Valid pH,Positive
A-69,-3.810962795,C1CN(CCO1)SC1=NC2=CC=CC=C2S1,0,G1,A,mono-constituent,Unstable,Uncharged
A-70,-2.593688492,CC12OC1CC1CC2C1(C)C,0,G1,A,mono-constituent,None,Uncharged
A-71,-0.426136485,NC(=O)NC1=CC(NC2=NC(Cl)=NC(NC3=CC=CC(=C3)S(=O)(=O)CCOS([O-])(=O)=O)=N2)=CC=C1N=NC1=CC2=C(C=C(C=C2C=C1S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-72,-3.358911212,CCCCCCCCCCCCNC1=NC(Cl)=NC(NC2=CC=C3C(=C2)C=C(C(=NNC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C3=O)S([O-])(=O)=O)=N1,0,G1,A,None,None,Negative
A-73,-2.703174404,CCCN(CCC)C(=O)SCC,0.018736413,G3,A,mono-constituent,None,Uncharged
A-74,-1.835797234,C(OCC1CCC(COCC2CO2)CC1)C1CO1,0,G1,A,multi-constituent,None,Uncharged
A-75,-3.905464204,CC(CC1=CC(C)=CC(=O)N1[O-])CC(C)(C)C,0.495711917,G5,A,mono-constituent,Cosolvent Buffer,Negative
A-76,-4.141900896,OP([O-])([O-])=O,1.043888311,G2,A,mono-constituent,None,Negative
A-77,-1.779623135,O=[P+]1OC2=CC=CC=C2C2=CC=CC=C12,0,G1,A,mono-constituent,None,Positive
A-79,-2.622959195,C=COC(=O)C1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-80,-3.739816376,COC(=O)C1=CC=C(C=C1)C(C)(C)C,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-81,-2.826535469,CC1=CC=CC(CC(C)(C)CO)=C1,0,G1,A,mono-constituent,None,Uncharged
A-83,-3.754953216,CC(C)=CCCC(C)=CCOC(C)=O,0,G1,A,multi-constituent,None,Uncharged
A-86,-2.695999804,CC1(C)C2CC1C(CCO)=CC2,0,G1,A,mono-constituent,None,Uncharged
A-89,-1.647141463,CC1CC(=O)CC(C)(C)C1,0,G1,A,mono-constituent,None,Uncharged
A-91,-3.951518842,C=CC(=O)OCCOC1=CC=CC=C1C1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-94,-5.123168748,SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.018244536,G5,A,mono-constituent,None,Uncharged
A-100,-4.952868803,CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,0,G1,A,mono-constituent,None,Uncharged
A-101,-5.47300058,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,0,G1,A,mono-constituent,None,Uncharged
A-106,-3.823043168,CCOC(=O)CC(C)CC(C)(C)C,0.025392856,G5,A,mono-constituent,None,Uncharged
A-109,-2.650086994,O[Si]([O-])=O,0.686790331,G2,A,None,None,Negative
A-111,-1.004260454,CCC1=CC=C(C)N=C1,0,G1,A,mono-constituent,None,Uncharged
A-113,-2.979987205,CC(C)C1CCC(C)CC1OC(=O)C(C)O,0,G1,A,mono-constituent,None,Uncharged
A-114,-3.178447129,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,0.015046519,G3,A,mono-constituent,None,Uncharged
A-115,-1.427031257,CC1=CC=C(NC2=CC=C(NC3=CC=C(C)C=C3S([O-])(=O)=O)C3=C2C(=O)C2=CC=CC=C2C3=O)C(=C1)S([O-])(=O)=O,0,G1,A,mono-constituent,Non Valid pH,Negative
A-116,-4.229152992,O,0,G1,A,mono-constituent,None,Uncharged
A-117,-2.95264717,CC(=C)C(=O)OCCOC1=CC=CC=C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-118,-4.151088918,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,0.129092083,G5,A,mono-constituent,None,Uncharged
A-119,-0.175874376,CF,0,G1,A,mono-constituent,None,Uncharged
A-122,-3.988526528,C(COC1=CC=CC=C1)OC1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-123,-7.278038713,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2Cl)=C(Cl)C(CC)=C1N,0,G1,A,mono-constituent,None,Uncharged
A-124,-1.439605121,CC1=CC(C)=C(NC2=CC(=C(N)C3=C2C(=O)C2=CC=CC=C2C3=O)S([O-])(=O)=O)C(C)=C1CNC(=O)C1=CC=CC=C1,0,G1,A,mono-constituent,None,Negative
A-125,-1.857977427,CCCC(CCC)C([O-])=O,0,G1,A,mono-constituent,Non Valid pH,Negative
A-127,-4.285895804,S=C1[N-]C2=CC=CC=C2S1,0,G1,A,mono-constituent,None,Negative
A-128,-4.034756761,OC1=CC=CC=C1,0,G1,A,multi-constituent,Cosolvent Buffer,Uncharged
A-129,-4.021753515,CCCCCCC=CC1CC(=O)OC1=O,0,G1,A,None,None,Uncharged
A-134,-5.229282852,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,G1,A,None,Cosolvent Buffer,Uncharged
A-135,-4.772570424,CC1=CCC2CC1C2(C)C,0.0731444,G5,A,mono-constituent,None,Uncharged
A-139,-4.909505216,C[Si](C)(C)O[Si](C)(C)C,0.166247392,G3,A,mono-constituent,None,Uncharged
A-140,-2.759957367,FC(=C)C(F)(F)F,0,G1,A,mono-constituent,None,Uncharged
A-141,-1.886030361,O=C1OC2=CC=CC=C2C=C1,0.640507101,G4,A,mono-constituent,None,Uncharged
A-142,-3.84649653,CC(=C)C1CCC(C)=CC1,0.730589006,G4,A,mono-constituent,None,Uncharged
A-143,-0.62297793,CCN(CC)C1=CC=C([C+](C2=CC=C(C=C2)N(CC)CC2=CC=CC(=C2)S([O-])(=O)=O)C2=CC=C(C=C2)N(CC)CC2=CC=CC(=C2)S([O-])(=O)=O)C(C)=C1,0,G1,A,mono-constituent,None,Zwitterion
A-144,-4.139133643,S=[W]=S,0,G1,A,mono-constituent,None,Uncharged
A-145,-1.642781181,CC1=NN(C(=O)C1N=NC1=CC=C(C2=CC=C(C=C2S([O-])(=O)=O)N=NC2C(C)=NN(C2=O)C2=CC=CC=C2)C(=C1)S([O-])(=O)=O)C1=CC=CC=C1,0,G1,A,mono-constituent,Non Valid pH,Negative
A-146,-3.088778192,CC(=O)OC1CC2CCC1(C)C2(C)C,0,G1,A,mono-constituent,None,Uncharged
A-147,-6.6197116,O[Si]([O-])=O,0,G1,A,None,None,Negative
A-148,-4.135942613,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-150,-2.603841144,[O-]S(=O)(=O)C1=CC=C(NN=C2C=CC(=O)C(=N[N-]C3=CC=C(C4=CC=CC=C34)S([O-])(=O)=O)C2=O)C2=CC=CC=C12,0,G1,A,mono-constituent,None,Negative
A-153,-0.070052651,CCCOCC(C)OCC(C)O,0,G1,A,mono-constituent,None,Uncharged
A-156,-4.170824759,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,0,G1,A,mono-constituent,Unstable,Uncharged
A-158,-4.410087437,CCCCCCCCC=CCCCCCCCC([O-])=O,0.398670244,G5,A,UVCB,Cosolvent Buffer,Negative
A-162,-1.521890085,CCN(CC[N+]1=CC=CC=C1)C1=CC=C(C=C1)N=NC1=CC=C(C=C1Cl)[N+]([O-])=O,0,G1,A,mono-constituent,Cosolvent Buffer,Positive
A-167,-4.216916663,O=C(OC1=CC=CC=C1)OC1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-168,-4.151910976,CCCCC(CC)C(=O)OC=C,0,G1,A,mono-constituent,None,Uncharged
A-169,-1.189236756,CC(=C)C(=O)NCNC(=O)C(C)=C,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-170,-2.965977173,C1CC=CCCC=C1,0,G1,A,mono-constituent,None,Uncharged
A-171,-3.256981001,CO[Si](CCCN=C=O)(OC)OC,0,G1,A,mono-constituent,Unstable,Uncharged
A-172,-3.32858345,CCO[Si](CCCCl)(OCC)OCC,0,G1,A,mono-constituent,None,Uncharged
A-176,-4.387683254,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,0.057297264,G5,A,mono-constituent,None,Uncharged
A-177,-1.79226117,CC1=CC(C)=C(C(C)=C1NC1=CC=C(NC2=C(C)C=C(C)C(=C2C)S([O-])(=O)=O)C2=C1C(=O)C1=CC=CC=C1C2=O)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-178,-3.345107824,OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1O,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-182,-4.425503245,CCCCCCCCCC=CCC1CC(=O)OC1=O,0,G1,A,multi-constituent,None,Uncharged
A-183,-4.425503245,CC(C)CC(C)CC(C)C=C(C)C1CC(=O)OC1=O,0.150514998,G3,A,None,None,Uncharged
A-184,-5.345705158,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC)OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC,0,G1,A,None,Multi-constituent Substances,Uncharged
A-188,-5.42454755,CCCCCCCCCC(=O)OC1=CC=C(C=C1)C([O-])=O,0,G1,A,mono-constituent,None,Negative
A-189,-5.676541809,CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-191,-5.49192521,COC1=CC=C(C=CC(=O)OCCC(C)C)C=C1,0,G1,A,mono-constituent,None,Uncharged
A-192,-5.593122622,CCCCCCCCCCCCCCCC(=O)NCC([O-])=O,0.044587195,G5,A,mono-constituent,Non Valid pH,Negative
A-193,-5.365156254,C1CC=CCCC=CCCC=C1,0.198970004,G3,A,mono-constituent,None,Uncharged
A-195,-6.102526939,CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C,0,G1,A,None,None,Uncharged
A-196,-6.656649109,BrCC1=CC=C(C=C1)C1=CC=CC=C1C#N,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-197,-6.214524895,CCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)[NH2+]C(C)(C)C1,1,G2,A,None,None,Positive
A-198,-5.731545253,CCCCC(CC)CNC(=O)CCCCCC(C)C,0,G1,A,None,None,Uncharged
A-199,-7.555881514,COC1CC(OC2C(C)OC(CC2OC)OC2C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)OC5CC(CC=C2C)OC2(C5)OC(C5CCCCC5)C(C)C=C2)C34O)OC(C)C1O,0,G1,A,mono-constituent,None,Uncharged
A-201,-6.183335848,C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=CC=C1,0.461832076,G3,A,None,None,Uncharged
A-203,-6.178796616,C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1,0.058820019,G5,A,mono-constituent,Non Valid pH,Uncharged
A-204,-6.40319542,CCCCOC(=O)C1=CC=C(C=C1)C(=O)OCCCC,0.688111365,G4,A,mono-constituent,None,Uncharged
A-208,-6.587338232,CCC(CC)CC1(CCCCC1)C#N,0,G1,A,mono-constituent,None,Uncharged
A-209,-6.929013035,COC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(C=C1)[N+]([O-])=O,0,G1,A,mono-constituent,None,PureChargeSeparation
A-212,-7.252394502,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,0.275453734,G3,A,UVCB,None,Uncharged
A-213,-7.404250358,CCCCN(CCCC)C1=CC=C2C(OC3=CC(C)=C(NC4=CC=CC=C4)C=C3C22OC(=O)C3=CC=CC=C23)=C1,0.324618535,G5,A,mono-constituent,None,Uncharged
A-215,-2.155833357,FC1(F)OC2=CC=CC(C=O)=C2O1,0,G1,A,mono-constituent,None,Uncharged
A-216,-7.638280591,CCNC1=CC(C#N)=C(N)C2=C1C(=O)C1=CC=CC=C1C2=O,0,G1,A,mono-constituent,Cosolvent Buffer,Uncharged
A-219,-8.25019206,CCCCCCCCC=CCCCCCCCC[NH2+]CCC[NH3+],0,G1,A,mono-constituent,Multi-constituent Substances,Positive
A-220,-8.185258765,CCCCC(CC)COC(=O)C1=CC=C(NC2=NC(NC3=CC=C(C=C3)C(=O)OCC(CC)CCCC)=NC(NC3=CC=C(C=C3)C(=O)NC(C)(C)C)=N2)C=C1,0.41195437,G3,A,mono-constituent,Non Valid pH,Uncharged
A-222,-4.400250091,O=[V]=O,1.528905422,G4,A,mono-constituent,None,Uncharged
A-224,-0.453910537,CCCCCCCCCCCC[N+]1=CC=CC=C1,0,G1,A,mono-constituent,None,Positive
A-225,-2.256644531,CC1=CC=CC(C)=C1OCC([O-])=O,0.4791308,G5,A,mono-constituent,Non Valid pH,Negative
A-227,-1.825456144,CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,0,G1,A,None,None,Uncharged
A-228,-0.817164744,OCC1=CC(=NNC2=CC=C(C3=CC=CC=C23)S([O-])(=O)=O)C(=O)C(=N[N-]C2=CC=C(C3=CC=CC=C23)S([O-])(=O)=O)C1=O,0,G1,A,mono-constituent,None,Negative
A-229,-1.138382451,CC(=O)C1=CC=C(O)C=C1,0,G1,A,mono-constituent,None,Uncharged
A-230,-1.988356233,O.O.[Mg++].[Ca++],1.862057608,G4,A,mono-constituent,Multi-constituent Substances,Uncharged
A-232,-2.786820452,NC1=CC=C2C=C(C(=NNC3=CC=C(N=NC4=CC=CC(C([O-])=O)=C4O)C4=CC=CC=C34)C(=O)C2=C1)S([O-])(=O)=O,0,G1,A,multi-constituent,None,Negative
A-234,-3.297212067,CC(C)=CCCC(C)=CC=CC(C)=O,0,G1,A,mono-constituent,None,Uncharged
A-236,-1.155886444,C=CN1CCN(C=C)C1=O,0,G1,A,mono-constituent,None,Uncharged
A-237,-2.205601857,NC1=CC(=CC=C1O)[N+]([O-])=O,0.008049072,G3,A,mono-constituent,None,PureChargeSeparation
A-238,-2.402069338,[Mg++],0.552078934,G4,A,None,None,Uncharged
A-241,-1.768326879,O=[Ca],0.866267647,G4,A,mono-constituent,None,Uncharged
A-242,-3.274087547,[O-][N+](=O)C1=CC=C2NC(=O)NC2=C1,0,G1,A,mono-constituent,None,PureChargeSeparation
A-243,-3.529299295,CC1=CC=C(C=C1)S(=O)(=O)C(=CN1CC(=O)NC1=S)C#N,0,G1,A,None,None,Uncharged
A-247,-1.17595802,CCC1=C(O)C(=O)C=CO1,0,G1,A,mono-constituent,None,Uncharged
A-249,-2.211401723,COC(=O)CC1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-251,-4.226296416,[O-]S([O-])(=O)=O,0,G1,A,None,Multi-constituent Substances,Negative
A-252,-3.27068643,CC1=C(Cl)C=CC=C1[N+]([O-])=O,0,G1,A,None,None,PureChargeSeparation
A-254,-1.910729926,O.O.[Ca++],0.672750255,G4,A,None,Multi-constituent Substances,Uncharged
A-255,-3.055986963,OP([O-])([O-])=O,0.295382893,G5,A,mono-constituent,None,Negative
A-256,-3.122388733,CCCCCCCl,0.227965978,G3,A,mono-constituent,None,Uncharged
A-257,-2.268475684,CC(=C)C(=O)OCC(F)(F)F,0,G1,A,mono-constituent,None,Uncharged
A-259,-2.642008137,[O-][N+](=O)O[Bi](O[N+]([O-])=O)O[N+]([O-])=O,0,G1,A,None,None,PureChargeSeparation
A-262,-2.153696327,CCCCCCC(C)=O,0.051848164,G3,A,mono-constituent,None,Uncharged
A-263,-2.404240574,CCCCCC=CCC(CC([O-])=O)C([O-])=O,0,G1,A,None,None,Negative
A-264,-3.495359601,CCCC(CCC)(C([O-])=O)C(CCC)(C=CC)C([O-])=O,0,G1,A,None,None,Negative
A-266,-3.526422567,CC1CC(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C12C,0,G1,A,mono-constituent,None,Uncharged
A-267,-3.756179517,CC1=NC2=CC=CC=C2C1=NNC1=CC(Cl)=C(C=C1Cl)S(=O)(=O)NCCS([O-])(=O)=O,0.092818288,G3,A,mono-constituent,None,Negative
A-270,-4.536378597,CC(C)(O)C(=O)C1=CC=C(CC2=CC=C(C=C2)C(=O)C(C)(C)O)C=C1,0,G1,A,None,None,Uncharged
A-271,-8.744859544,O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Ba++],0,G1,A,mono-constituent,Multi-constituent Substances,Uncharged
A-273,-4.493085819,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,0,G1,A,UVCB,None,Uncharged
A-276,-4.578402879,O=C(NC1=CC=CC=C1)NC1=CC=CC=C1NS(=O)(=O)C1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-277,-5.583643126,O.O.O.[K+].[K+].[Ti+4],0.316660188,G5,A,None,Multi-constituent Substances,Positive
A-278,-4.283204614,CCCCC(CC)COC(=O)C=C,0.508852307,G2,A,mono-constituent,None,Uncharged
A-280,-4.928855971,CCCCC(CC)COP([S-])(=S)OCC(CC)CCCC,0,G1,A,UVCB,None,Negative
A-284,-3.338049828,CC(=O)OC1CC2CC1C1CCCC21,0,G1,A,multi-constituent,None,Uncharged
A-285,-0.84591656,CCS,0.150513624,G5,A,mono-constituent,None,Uncharged
A-293,-2.595175443,CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC,0,G1,A,mono-constituent,Unstable,Uncharged
A-295,-3.243750947,CC(CCC=C(C)C)CC=O,0,G1,A,mono-constituent,None,Uncharged
A-296,-0.288092629,CC(C)C12CCC(C)(O1)C(O)C2,0,G1,A,None,None,Uncharged
A-297,-3.302656786,CC(C)C1=CC=C(CCC=O)C=C1,0,G1,A,mono-constituent,None,Uncharged
A-298,-2.197764187,CCCCBr,0.086117907,G3,A,mono-constituent,None,Uncharged
A-300,-3.60911048,CCCCCCCCCCCC(=O)NC(CCC([O-])=O)C([O-])=O,0.554343232,G2,A,mono-constituent,Non Valid pH,Negative
A-301,-3.384192904,CCCOC(C)OCCC1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-304,-3.339761604,COC(OC)C(C)(C)CC=C(C)C,0,G1,A,mono-constituent,None,Uncharged
A-305,-3.296613578,COC(C)(C)C1CCC(C)=CC1,0,G1,A,mono-constituent,None,Uncharged
A-307,-3.235762244,[Co+3].CCN(CC)C1=CC2=[O+]C3=CC(=CC=C3C(C3=CC=CC=C3C([O-])=O)=C2C=C1)N(CC)CC.CC(C)OCCCNS(=O)(=O)C1=CC=C([O-])C(=C1)N=NC1=C(C)[N-]N(C1=O)C1=CC=CC=C1.CC(C)OCCCNS(=O)(=O)C1=CC=C([O-])C(=C1)N=NC1=C(C)[N-]N(C1=O)C1=CC=CC=C1,0.025805925,G3,A,mono-constituent,Multi-constituent Substances,Zwitterion
A-310,-3.364225398,[O-][N+](=O)C1=CC(Cl)=CC=C1Cl,0.37524236,G5,A,mono-constituent,None,PureChargeSeparation
A-311,-2.302767888,CCC(C)=CCCC(C)(O)C#C,0,G1,A,None,None,Uncharged
A-314,-3.477980722,CO[Si](CCCOC(=O)C(C)=C)(OC)OC,2.210895308,G4,A,mono-constituent,Prediction Estimation,Uncharged
A-316,-3.680444963,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0.385515755,G3,A,UVCB,None,Uncharged
A-319,-2.327317556,O=C1C=CC(=O)N1C1=CC=CC=C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-320,-2.365667988,CC1=CC(=O)N(N1)C1=CC=C(C)C=C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-321,-2.267384667,OB(O)C1=CC=C(C=O)C=C1,0,G1,A,None,Non Valid pH,Uncharged
A-322,-2.337666283,CC(=O)CC(C)(C)C1=CC=CC=C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-323,-2.250522404,CCCCCOC(=O)CC,0.485261202,G3,A,mono-constituent,None,Uncharged
A-324,-2.160954298,FC(F)=C(F)Cl,0.373978233,G3,A,mono-constituent,None,Uncharged
A-326,-1.459377408,CCCCCCCCCCCCOCCO,0,G1,A,None,None,Uncharged
A-328,-2.400775362,[NH3+]CCCCCCCCCCC([O-])=O,0.196373312,G5,A,mono-constituent,None,Zwitterion
A-329,-2.800595088,NC(NC1=CC=C(Cl)C=C1)=NC(=[NH2+])NCCCCCCNC(=[NH2+])N=C(N)NC1=CC=C(Cl)C=C1,0,G1,A,None,None,Positive
A-331,-3.176796415,CC=C1CC2CC1C=C2,0.476851793,G3,A,mono-constituent,None,Uncharged
A-332,-3.525627796,CCN(C(=O)N(CC)C1=CC=CC=C1)C1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-334,-3.383020526,CCCCOC(=O)C1=CC=CC=C1N,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-338,-4.413922406,OC1=CC=CC=C1C(=O)OCC1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-339,-4.596065772,CCCC[Sn](CCCC)(CCCC)CCCC,0.980202819,G2,A,mono-constituent,None,Uncharged
A-342,-3.994369951,CO,2.247217478,G4,A,mono-constituent,Unstable,Uncharged
